quote,author,tags
"thereisneveratimeorplacefortruelove.ithappensaccidentally,inaheartbeat,inasingleflashing,throbbingmoment.","Sarah Dessen,",['love']
"ifyoucantexplainittoasixyearold,youdontunderstandityourself.",Albert Einstein,"['simplicity', 'understand']"
"imnotupsetthatyouliedtome,imupsetthatfromnowonicantbelieveyou.",Friedrich Nietzsche,"['lies', 'lying', 'trust']"
thereisnogreateragonythanbearinganuntoldstoryinsideyou.,"Maya Angelou,","['1970', 'inspirational', 'stories', 'writing']"
loveisthatconditioninwhichthehappinessofanotherpersonisessentialtoyourown.,"Robert A. Heinlein,","['essential', 'happiness', 'love']"
anyonewhothinkssittinginchurchcanmakeyouachristianmustalsothinkthatsittinginagaragecanmakeyouacar.,Garrison Keillor,"['humor', 'religion']"
"ifyouonlyreadthebooksthateveryoneelseisreading,youcanonlythinkwhateveryoneelseisthinking.","Haruki Murakami,","['books', 'thought']"
ihavealwaysimaginedthatparadisewillbeakindoflibrary.,Jorge Luis Borges,"['books', 'library']"
everythingyoucanimagineisreal.,Pablo Picasso,"['art', 'imagination', 'inspirational', 'life']"
"womenandcatswilldoastheyplease,andmenanddogsshouldrelaxandgetusedtotheidea.",Robert A. Heinlein,"['cats', 'humor', 'women']"
sometimesthequestionsarecomplicatedandtheanswersaresimple.,Dr. Seuss,['life']
"youmaynotbeherfirst,herlast,orheronly.shelovedbeforeshemayloveagain.butifshelovesyounow,whatelsemattersshesnotperfectyouarenteither,andthetwoofyoumayneverbeperfecttogetherbutifshecanmakeyoulaugh,causeyoutothinktwice,andadmittobeinghumanandmakingmistakes,holdontoherandgiveherthemostyoucan.shemaynotbethinkingaboutyoueverysecondoftheday,butshewillgiveyouapartofherthatsheknowsyoucanbreakherheart.sodonthurther,dontchangeher,dontanalyzeanddontexpectmorethanshecangive.smilewhenshemakesyouhappy,letherknowwhenshemakesyoumad,andmissherwhenshesnotthere.",Bob Marley,['love']
nevertrustanyonewhohasnotbroughtabookwiththem.,"Lemony Snicket,","['books', 'reading']"
"youloveme.realornotrealitellhim,real.","Suzanne Collins,","['katniss', 'love', 'peeta', 'suzanne-collins', 'the-hunger-games']"
youcannevergetacupoftealargeenoughorabooklongenoughtosuitme.,C.S. Lewis,"['books', 'inspirational', 'reading', 'tea']"
wereadtoknowwerenotalone.,"William Nicholson,","['misattributed-to-c-s-lewis', 'reading']"
"sometimes,youreadabookanditfillsyouwiththisweirdevangelicalzeal,andyoubecomeconvincedthattheshatteredworldwillneverbeputbacktogetherunlessanduntilalllivinghumansreadthebook.","John Green,","['books', 'power-of-words', 'reading']"
allyouneedislove.butalittlechocolatenowandthendoesnthurt.,Charles M. Schulz,"['chocolate', 'food', 'humor']"
"ofcourseitishappeninginsideyourhead,harry,butwhyonearthshouldthatmeanthatitisnotreal","J.K. Rowling,",['dumbledore']
beautyisintheeyeofthebeholderanditmaybenecessaryfromtimetotimetogiveastupidormisinformedbeholderablackeye.,Jim Henson,['humor']
lifeisntaboutfindingyourself.lifeisaboutcreatingyourself.,George Bernard Shaw,"['inspirational', 'life', 'yourself']"
"todayyouareyou,thatistruerthantrue.thereisnoonealivewhoisyouerthanyou.","Dr. Seuss,","['comedy', 'life', 'yourself']"
"tothewellorganizedmind,deathisbutthenextgreatadventure.","J.K. Rowling,","['death', 'dumbledore', 'harry', 'inspirational', 'philosophers-stone', 'ron', 'sorcerers-stone']"
imnotafraidofdeathijustdontwanttobetherewhenithappens.,Woody Allen,"['death', 'fear', 'humor', 'life']"
"ifonecannotenjoyreadingabookoverandoveragain,thereisnouseinreadingitatall.",Oscar Wilde,"['books', 'reading']"
"ifyouwantyourchildrentobeintelligent,readthemfairytales.ifyouwantthemtobemoreintelligent,readthemmorefairytales.",Albert Einstein,"['children', 'fairy-tales']"
"haveyoufalleninlovewiththewrongpersonyetjacesaid,unfortunately,ladyofthehaven,myonetrueloveremainsmyself....atleast,shesaid,youdonthavetoworryaboutrejection,jacewayland.notnecessarily.iturnmyselfdownoccasionally,justtokeepitinteresting.","Cassandra Clare,","['city-of-bones', 'jace']"
logicwillgetyoufromatozimaginationwillgetyoueverywhere.,Albert Einstein,['imagination']
"iminlovewithyou,hesaidquietly.augustus,isaid.iam,hesaid.hewasstaringatme,andicouldseethecornersofhiseyescrinkling.iminlovewithyou,andimnotinthebusinessofdenyingmyselfthesimplepleasureofsayingtruethings.iminlovewithyou,andiknowthatloveisjustashoutintothevoid,andthatoblivionisinevitable,andthatwerealldoomedandthattherewillcomeadaywhenallourlaborhasbeenreturnedtodust,andiknowthesunwillswallowtheonlyearthwelleverhave,andiaminlovewithyou.","John Green,","['doomed', 'inevitable', 'love', 'oblivion', 'pleasure', 'simple']"
"wheneverifeeltheneedtoexercise,iliedownuntilitgoesaway.",Paul   Terry,"['exercise', 'humor', 'laziness', 'misattributed-to-hutchins']"
"iamnothingspecial,ofthisiamsure.iamacommonmanwithcommonthoughtsandiveledacommonlife.therearenomonumentsdedicatedtomeandmynamewillsoonbeforgotten,butivelovedanotherwithallmyheartandsoul,andtome,thishasalwaysbeenenough..","Nicholas Sparks,",['love']
sometimespeoplearebeautiful.notinlooks.notinwhattheysay.justinwhattheyare.,"Markus Zusak,","['beauty', 'life']"
youdontgettochooseifyougethurtinthisworld...butyoudohavesomesayinwhohurtsyou.ilikemychoices.,"John Green,","['satisfaction', 'self-determination']"
"thetruthis,everyoneisgoingtohurtyou.youjustgottofindtheonesworthsufferingfor.",Bob Marley,['friendship']
"themorethatyouread,themorethingsyouwillknow.themorethatyoulearn,themoreplacesyoullgo.","Dr. Seuss,","['learning', 'reading', 'seuss']"
"lovelooksnotwiththeeyes,butwiththemind,andthereforeiswingedcupidpaintedblind.","William Shakespeare,",['love']
folksareusuallyaboutashappyastheymaketheirmindsuptobe.,Abraham Lincoln,['happiness']
"dowhatyoucan,withwhatyouhave,whereyouare.",Theodore Roosevelt,['inspirational']
thereisnofriendasloyalasabook.,Ernest Hemingway,"['books', 'friends', 'novelist-quotes']"
"onegoodthingaboutmusic,whenithitsyou,youfeelnopain.",Bob Marley,['music']
"ifindtelevisionveryeducating.everytimesomebodyturnsontheset,igointotheotherroomandreadabook.",Groucho Marx,"['books', 'humor', 'reading', 'television']"
thestorysofarinthebeginningtheuniversewascreated.thishasmadealotofpeopleveryangryandbeenwidelyregardedasabadmove.,"Douglas Adams,","['humor', 'scifi']"
notallofuscandogreatthings.butwecandosmallthingswithgreatlove.,Mother Teresa,"['misattributed-to-mother-teresa', 'paraphrased']"
"successisnotfinal,failureisnotfatalitisthecouragetocontinuethatcounts.",Winston S. Churchill,"['bravery', 'courage', 'failure', 'inspirational', 'success']"
"loveislikethewind,youcantseeitbutyoucanfeelit.","Nicholas Sparks,","['love', 'simile']"
"listentothemustnts,child.listentothedonts.listentotheshouldnts,theimpossibles,thewonts.listentotheneverhaves,thenlistenclosetome...anythingcanhappen,child.anythingcanbe.",Shel Silverstein,"['anything-can-be', 'hope', 'impossible', 'inspirational', 'musn-t', 'possibilities', 'shouldn-t', 'won-t']"
"whenonedoorofhappinesscloses,anotheropensbutoftenwelooksolongatthecloseddoorthatwedonotseetheonewhichhasbeenopenedforus.",Helen Keller,['inspirational']
"ifyoulivetobeahundred,iwanttolivetobeahundredminusonedaysoineverhavetolivewithoutyou.","Joan Powers,","['friendship', 'misattributed-a-a-milne']"
"so,thisismylife.andiwantyoutoknowthatiambothhappyandsadandimstilltryingtofigureouthowthatcouldbe.","Stephen Chbosky,","['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower']"
"sayinginoticeyoureanerdislikesaying,hey,inoticethatyoudratherbeintelligentthanbestupid,thatyoudratherbethoughtfulthanbevapid,thatyoubelievethattherearethingsthatmattermorethanthearrestrecordoflindsaylohan.whyisthatinfact,itseemstomethatmostcontemporaryinsultsareprettylame.evenlameiskindoflame.sayingyourelameislikesayingyouwalkwithalimp.yeah,whatever,sodoes50cent,andhesdoneallrightforhimself.",John Green,"['humor', 'nerdfighters']"
"peoplethinkasoulmateisyourperfectfit,andthatswhateveryonewants.butatruesoulmateisamirror,thepersonwhoshowsyoueverythingthatisholdingyouback,thepersonwhobringsyoutoyourownattentionsoyoucanchangeyourlife.atruesoulmateisprobablythemostimportantpersonyoullevermeet,becausetheyteardownyourwallsandsmackyouawake.buttolivewithasoulmateforevernah.toopainful.soulmates,theycomeintoyourlifejusttorevealanotherlayerofyourselftoyou,andthenleave.asoulmatespurposeistoshakeyouup,tearapartyouregoalittlebit,showyouyourobstaclesandaddictions,breakyourheartopensonewlightcangetin,makeyousodesperateandoutofcontrolthatyouhavetotransformyourlife,thenintroduceyoutoyourspiritualmaster...","Elizabeth Gilbert,",['love']
"itmattersnotwhatsomeoneisborn,butwhattheygrowtobe.","J.K. Rowling,",['dumbledore']
"lifeislikeridingabicycle.tokeepyourbalance,youmustkeepmoving.",Albert Einstein,"['life', 'simile']"
"thereisnothingiwouldnotdoforthosewhoarereallymyfriends.ihavenonotionoflovingpeoplebyhalves,itisnotmynature.","Jane Austen,","['friendship', 'love']"
"youdontlovesomeonebecausetheyreperfect,youlovetheminspiteofthefactthattheyrenot.","Jodi Picoult,","['imperfect', 'love']"
somepeoplenevergocrazy.whattrulyhorriblelivestheymustlead.,Charles Bukowski,['humor']
thedifferencebetweengeniusandstupidityisgeniushasitslimits.,Alexandre Dumas-fils,['misattributed-to-einstein']
"loveneverdiesanaturaldeath.itdiesbecausewedontknowhowtoreplenishitssource.itdiesofblindnessanderrorsandbetrayals.itdiesofillnessandwoundsitdiesofweariness,ofwitherings,oftarnishings.",Anais Nin,"['death', 'love']"
"whatreallyknocksmeoutisabookthat,whenyourealldonereadingit,youwishtheauthorthatwroteitwasaterrificfriendofyoursandyoucouldcallhimuponthephonewheneveryoufeltlikeit.thatdoesnthappenmuch,though.","J.D. Salinger,","['authors', 'books', 'literature', 'reading', 'writing']"
"ifyoucanmakeawomanlaugh,youcanmakeherdoanything.",Marilyn Monroe,"['girls', 'love']"
"wereallalittleweird.andlifeisalittleweird.andwhenwefindsomeonewhoseweirdnessiscompatiblewithours,wejoinupwiththemandfallintomutuallysatisfyingweirdnessandcallitlovetruelove.","Robert Fulghum,","['love', 'weirdness']"
"youdonthaveasoul,doctor.youareasoul.youhaveabody,temporarily.","Walter M. Miller Jr.,","['body-soul', 'misattributed-to-c-s-lewis']"
"iwouldventuretoguessthatanon,whowrotesomanypoemswithoutsigningthem,wasoftenawoman.","Virginia Woolf,",['women']
someinfinitiesarebiggerthanotherinfinities.,"John Green,","['infinity', 'john-green', 'life', 'tfios', 'the-fault-in-our-stars']"
doonethingeverydaythatscaresyou.,Eleanor Roosevelt,"['attributed', 'fear', 'inspiration']"
itiswhatyoureadwhenyoudonthavetothatdetermineswhatyouwillbewhenyoucanthelpit.,Oscar Wilde,"['books', 'reading']"
"thetroublewithhavinganopenmind,ofcourse,isthatpeoplewillinsistoncomingalongandtryingtoputthingsinit.","Terry Pratchett,","['humor', 'open-mind', 'thinking']"
ifihadaflowerforeverytimeithoughtofyou...icouldwalkthroughmygardenforever.,Alfred Tennyson,"['friendship', 'love']"
"onemustalwaysbecarefulofbooks,saidtessa,andwhatisinsidethem,forwordshavethepowertochangeus.","Cassandra Clare,",['books']
notallthosewhowanderarelost.,"J.R.R. Tolkien,","['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']"
timeyouenjoywastingisnotwastedtime.,"Marthe Troly-Curtin,","['happiness', 'misattributed-john-lennon', 'procrastination', 'time']"
realitycontinuestoruinmylife.,"Bill Watterson,","['calvin-and-hobbes', 'humor', 'life']"
thingschange.andfriendsleave.lifedoesntstopforanybody.,"Stephen Chbosky,","['change', 'life']"
"thereisnopretending,jacesaidwithabsoluteclarity.iloveyou,andiwillloveyouuntilidie,andifthereislifeafterthat,illloveyouthen.","Cassandra Clare,","['mortal-instruments', 'romance', 'teen-fantasy']"
whoareyoutojudgethelifeiliveiknowimnotperfectandidontlivetobebutbeforeyoustartpointingfingers...makesureyouhandsareclean,Bob Marley,"['judge', 'life', 'live', 'perfection']"
therealloveristhemanwhocanthrillyoubykissingyourforeheadorsmilingintoyoureyesorjuststaringintospace.,Marilyn Monroe,['love']
"iftheresabookthatyouwanttoread,butithasntbeenwrittenyet,thenyoumustwriteit.",Toni Morrison,"['books', 'writing']"
"pigletsidleduptopoohfrombehind.poohhewhispered.yes,pigletnothing,saidpiglet,takingpoohspaw.ijustwantedtobesureofyou.","A.A. Milne,","['friendship', 'piglet', 'pooh', 'reassurance']"
"toloveatallistobevulnerable.loveanythingandyourheartwillbewrungandpossiblybroken.ifyouwanttomakesureofkeepingitintactyoumustgiveittonoone,notevenananimal.wrapitcarefullyroundwithhobbiesandlittleluxuriesavoidallentanglements.lockitupsafeinthecasketorcoffinofyourselfishness.butinthatcasket,safe,dark,motionless,airless,itwillchange.itwillnotbebrokenitwillbecomeunbreakable,impenetrable,irredeemable.toloveistobevulnerable.","C.S. Lewis,",['love']
theonlywayoutofthelabyrinthofsufferingistoforgive.,"John Green,","['compassion', 'life', 'suffering']"
"heslikeadrugforyou,bella.","Stephenie Meyer,","['drug', 'romance', 'simile']"
"donotpitythedead,harry.pitytheliving,and,aboveallthosewholivewithoutlove.","J.K. Rowling,",['live-death-love']
thereasonitalktomyselfisbecauseimtheonlyonewhoseanswersiaccept.,George Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
"awisegirlkissesbutdoesntlove,listensbutdoesntbelieve,andleavesbeforesheisleft.",Marilyn Monroe,[]
gotoheavenfortheclimateandhellforthecompany.,Benjamin Franklin Wade,"['humor', 'misattributed-mark-twain', 'philosophy', 'theology']"
